"Source:","D:\docs\GitHub\DIY\zx\pentagon 128 portable\schematic\Pentagon128 portable\pentagon 128 portable.sch"
"Date:","19/09/2020 16:18:23"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C26","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C27","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C28","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C29","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C30","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C31","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C32","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C33","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C34","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C35","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C36","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C37","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C38","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C39","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C40","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C41","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C42","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C43","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C44","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C45","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C46","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C47","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C48","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C49","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C50","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C51","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
